x,y,cell_id,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3,u,var,sd,IoD,CoV
-2.2657422,53.4528117,-5.55448E+18,77,1,0,1,2,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2657703,53.4573059,-4.89343E+18,163,2,2,0,1,1.25,0.916666667,0.957427108,0.733333333,0.765941686
-2.2658209,53.4653954,7.48721E+18,28,0,0,0,1,0.25,0.25,0.5,1,2
-2.2658827,53.4752826,-4.73166E+18,173,2,2,0,0,1,1.333333333,1.154700538,1.333333333,1.154700538
-2.266046,53.5013487,-5.79272E+16,78,0,0,1,0,0.25,0.25,0.5,1,2
-2.2640411,53.4213556,-2.2872E+18,92,7,3,3,8,5.25,6.916666667,2.62995564,1.317460317,0.500943931
-2.2640579,53.4240521,-9.01206E+18,82,7,4,5,7,5.75,2.25,1.5,0.391304348,0.260869565
-2.2641694,53.442029,8.3973E+18,109,7,2,6,1,4,8.666666667,2.943920289,2.166666667,0.735980072
-2.2641973,53.4465232,2.50799E+18,65,4,1,3,4,3,2,1.414213562,0.666666667,0.471404521
-2.2642252,53.4510174,7.8692E+17,139,3,4,5,5,4.25,0.916666667,0.957427108,0.215686275,0.225276967
-2.2642308,53.4519162,8.85585E+18,71,3,5,1,3,3,2.666666667,1.632993162,0.888888889,0.544331054
-2.2642532,53.4555115,1.30411E+18,68,2,3,1,2,2,0.666666667,0.816496581,0.333333333,0.40824829
-2.2642923,53.4618034,6.62041E+18,214,5,2,3,4,3.5,1.666666667,1.290994449,0.476190476,0.368855557
-2.2643538,53.4716906,-2.0891E+17,218,3,0,1,1,1.25,1.583333333,1.258305739,1.266666667,1.006644591
-2.1563459,53.5968192,-1.53024E+18,82,1,0,0,0,0.25,0.25,0.5,1,2
-2.2625641,53.4258532,6.73207E+16,65,4,1,2,6,3.25,4.916666667,2.217355783,1.512820513,0.682263318
-2.262603,53.432145,2.40906E+18,32,0,4,3,3,2.5,3,1.732050808,1.2,0.692820323
-2.2626362,53.4375381,1.45525E+18,15,0,0,0,2,0.5,1,1,2,2
-2.2626973,53.4474253,-2.2952E+18,243,10,9,13,15,11.75,7.583333333,2.753785274,0.645390071,0.234364704
-2.2627417,53.454616,5.7366E+18,133,1,1,4,2,2,2,1.414213562,1,0.707106781
-2.2627528,53.4564137,-5.52186E+18,49,1,1,3,0,1.25,1.583333333,1.258305739,1.266666667,1.006644591
-2.2628195,53.4671998,-6.84624E+18,26,0,0,1,0,0.25,0.25,0.5,1,2
-2.262825,53.4680986,4.89677E+18,41,1,0,2,2,1.25,0.916666667,0.957427108,0.733333333,0.765941686
-2.2628639,53.4743904,3.33154E+18,286,4,3,6,4,4.25,1.583333333,1.258305739,0.37254902,0.296071939
-2.2628862,53.4779858,1.88352E+18,193,1,2,0,1,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2630476,53.5040519,2.04648E+17,105,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2631479,53.5202308,3.26258E+18,129,0,0,1,0,0.25,0.25,0.5,1,2
-2.1531645,53.5527806,2.85235E+18,78,0,1,0,0,0.25,0.25,0.5,1,2
-2.1518195,53.5986227,-1.7655E+17,66,0,0,1,0,0.25,0.25,0.5,1,2
-2.2610317,53.4213622,-5.73525E+18,85,1,0,0,3,1,2,1.414213562,2,1.414213562
-2.2610979,53.4321483,1.42749E+18,9,1,1,0,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2611475,53.4402379,-8.33282E+18,69,6,1,6,2,3.75,6.916666667,2.62995564,1.844444444,0.701321504
-2.261164,53.4429344,-8.82842E+18,63,4,1,3,4,3,2,1.414213562,0.666666667,0.471404521
-2.2611861,53.4465298,6.5784E+18,76,3,5,2,4,3.5,1.666666667,1.290994449,0.476190476,0.368855557
-2.2612413,53.4555182,-6.78384E+18,130,6,3,4,8,5.25,4.916666667,2.217355783,0.936507937,0.422353482
-2.2612579,53.4582147,-6.93871E+18,161,1,2,3,6,3,4.666666667,2.160246899,1.555555556,0.7200823
-2.2612966,53.4645065,-3.54877E+18,145,6,3,4,0,3.25,6.25,2.5,1.923076923,0.769230769
-2.2613297,53.4698996,-3.8242E+18,84,1,1,5,2,2.25,3.583333333,1.892969449,1.592592593,0.841319755
-2.2613463,53.4725961,-5.89487E+18,687,12,7,11,8,9.5,5.666666667,2.380476143,0.596491228,0.250576436
-2.2614956,53.4968646,7.89384E+18,97,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2615898,53.5121447,3.71531E+18,117,0,1,0,0,0.25,0.25,0.5,1,2
-2.2595489,53.4249609,7.8646E+18,30,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2596586,53.4429377,-6.28078E+18,28,2,1,6,3,3,4.666666667,2.160246899,1.555555556,0.7200823
-2.2597629,53.4600157,3.71541E+18,124,5,3,3,1,3,2.666666667,1.632993162,0.888888889,0.544331054
-2.2597848,53.463611,1.53141E+17,73,3,1,2,2,2,0.666666667,0.816496581,0.333333333,0.40824829
-2.2597958,53.4654087,8.19894E+18,186,4,4,10,5,5.75,8.25,2.872281323,1.434782609,0.499527187
-2.1502894,53.5932317,-7.29466E+18,63,0,0,1,0,0.25,0.25,0.5,1,2
-2.2930886,53.4878028,8.22071E+18,231,0,0,1,0,0.25,0.25,0.5,1,2
-2.2599222,53.4860819,-3.17922E+18,73,1,1,0,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2600048,53.4995644,-2.67076E+18,99,3,0,1,1,1.25,1.583333333,1.258305739,1.266666667,1.006644591
-2.2600158,53.501362,-5.275E+18,70,0,0,1,0,0.25,0.25,0.5,1,2
-2.2581476,53.4420421,-3.23432E+18,51,3,3,3,1,2.5,1,1,0.4,0.4
-2.2581695,53.4456375,-8.0516E+18,3,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2583442,53.4744003,-3.19505E+18,51,2,1,1,0,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2583496,53.4752991,5.80E+18,341,9,6,5,5,6.25,3.583333333,1.892969449,0.573333333,0.302875112
-2.2583551,53.476198,6.38384E+18,31,0,0,1,0,0.25,0.25,0.5,1,2
-2.2585411,53.5067583,2.82224E+18,183,3,0,1,0,1,2,1.414213562,2,1.414213562
-2.2565176,53.421372,5.1081E+18,84,0,0,1,0,0.25,0.25,0.5,1,2
-2.2566476,53.4429442,-4.20519E+18,38,5,3,3,2,3.25,1.583333333,1.258305739,0.487179487,0.387170997
-2.2566639,53.4456408,1.65185E+18,46,2,1,1,1,1.25,0.25,0.5,0.2,0.4
-2.2567073,53.4528315,7.95601E+18,103,3,2,2,3,2.5,0.333333333,0.577350269,0.133333333,0.230940108
-2.2567833,53.4654152,2.78973E+18,109,3,2,2,2,2.25,0.25,0.5,0.111111111,0.222222222
-2.2567996,53.4681117,-3.97698E+18,134,2,2,2,1,1.75,0.25,0.5,0.142857143,0.285714286
-2.256805,53.4690105,5.57256E+18,114,3,2,1,0,1.5,1.666666667,1.290994449,1.111111111,0.860662966
-2.2569191,53.4878861,-5.80477E+18,141,0,1,2,1,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2570606,53.5112557,8.76079E+18,76,0,1,0,0,0.25,0.25,0.5,1,2
-2.2570824,53.514851,3.41126E+18,18,2,0,0,0,0.5,1,1,2,2
-2.2571096,53.5193451,2.34835E+18,58,0,1,0,0,0.25,0.25,0.5,1,2
-2.2550344,53.4249706,-5.42992E+18,25,0,0,0,1,0.25,0.25,0.5,1,2
-2.2552716,53.4645196,-7.11703E+18,63,1,3,5,1,2.5,3.666666667,1.914854216,1.466666667,0.765941686
-2.2552878,53.4672161,-1.17181E+18,105,5,2,4,2,3.25,2.25,1.5,0.692307692,0.461538462
-2.2552986,53.4690138,-8.18276E+18,165,5,3,5,1,3.5,3.666666667,1.914854216,1.047619048,0.547101204
-2.2553418,53.4762045,-4.0783E+18,226,4,4,12,4,6,16,4,2.666666667,0.666666667
-2.2553688,53.4806986,7.16479E+18,188,3,6,1,2,3,4.666666667,2.160246899,1.555555556,0.7200823
-2.2554066,53.4869905,-5.34152E+18,170,1,1,2,1,1.25,0.25,0.5,0.2,0.4
-2.2554986,53.5022706,6.91494E+17,83,1,0,2,1,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.255504,53.5031694,-8.90237E+18,45,1,0,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2555852,53.5166519,-1.35905E+18,62,1,0,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2556393,53.5256402,-3.14907E+18,74,0,0,0,1,0.25,0.25,0.5,1,2
-2.2557748,53.5481108,7.58132E+18,39,0,0,0,1,0.25,0.25,0.5,1,2
-2.2537064,53.4546356,-8.16335E+18,136,7,7,2,4,5,6,2.449489743,1.2,0.489897949
-2.2538513,53.4789042,6.59483E+18,245,5,6,6,5,5.5,0.333333333,0.577350269,0.060606061,0.104972776
-2.253905,53.4878925,-8.40394E+18,15,1,0,0,0,0.25,0.25,0.5,1,2
-2.2540286,53.5085656,-2.62E+18,80,2,0,1,1,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2540717,53.5157563,-3.87072E+18,69,1,1,1,0,0.75,0.25,0.5,0.333333333,0.666666667
-2.2541094,53.5220481,-3.18435E+18,52,0,0,1,0,0.25,0.25,0.5,1,2
-2.2850229,53.4087234,4.09476E+17,70,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2897497,53.4401719,-7.42278E+18,37,1,0,0,0,0.25,0.25,0.5,1,2
-2.2521418,53.4447515,-7.47503E+18,24,1,1,1,1,1,0,0,0,0
-2.2521472,53.4456504,-9.11648E+18,16,0,0,0,1,0.25,0.25,0.5,1,2
-2.2521525,53.4465492,-6.49236E+18,72,5,2,2,2,2.75,2.25,1.5,0.818181818,0.545454545
-2.2522218,53.4582341,1.70791E+18,136,4,7,4,4,4.75,2.25,1.5,0.473684211,0.315789474
-2.2523338,53.4771097,-1.15836E+18,111,2,2,3,1,2,0.666666667,0.816496581,0.333333333,0.40824829
-2.2524567,53.4977829,7.80714E+18,55,0,1,0,0,0.25,0.25,0.5,1,2
-2.2525957,53.5211525,7.73245E+18,126,0,0,1,2,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2506522,53.4474512,2.81848E+17,53,5,5,2,3,3.75,2.25,1.5,0.6,0.4
-2.2506999,53.4555408,-5.61555E+18,108,2,4,2,6,3.5,3.666666667,1.914854216,1.047619048,0.547101204
-2.2507052,53.4564396,6.80516E+17,86,0,5,0,5,2.5,8.333333333,2.886751346,3.333333333,1.154700538
-2.2507847,53.4699222,2.837E+18,34,0,2,0,0,0.5,1,1,2,2
-2.2508749,53.4852024,-3.97401E+18,57,2,2,1,0,1.25,0.916666667,0.957427108,0.733333333,0.765941686
-2.2509546,53.4986849,7.52619E+18,102,3,1,1,0,1.25,1.583333333,1.258305739,1.266666667,1.006644591
-2.2510077,53.5076732,5.45315E+18,89,0,1,3,0,1,2,1.414213562,2,1.414213562
-2.2510184,53.5094709,6.99255E+18,282,3,3,1,4,2.75,1.583333333,1.258305739,0.575757576,0.457565723
-2.251029,53.5112685,-2.22602E+18,171,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2510981,53.5229533,-2.99269E+18,56,1,0,0,0,0.25,0.25,0.5,1,2
-2.2820262,53.4105282,-6.99382E+18,78,7,11,4,7,7.25,8.25,2.872281323,1.137931034,0.396176734
-2.2820381,53.4123259,4.52127E+18,102,8,4,3,4,4.75,4.916666667,2.217355783,1.035087719,0.466811744
-2.2820441,53.4132247,5.06859E+18,82,4,4,5,8,5.25,3.583333333,1.892969449,0.682539683,0.360565609
-2.2822884,53.4500772,8.73674E+17,92,0,0,0,1,0.25,0.25,0.5,1,2
-2.2824257,53.4707504,2.74305E+18,238,1,0,0,0,0.25,0.25,0.5,1,2
-2.2865815,53.4168093,-7.35499E+18,85,0,0,0,2,0.5,1,1,2,2
-2.2805101,53.408734,3.80376E+18,58,30,27,28,30,28.75,2.25,1.5,0.07826087,0.052173913
-2.2805337,53.4123294,6.28678E+18,35,6,4,6,4,5,1.333333333,1.154700538,0.266666667,0.230940108
-2.2807056,53.4383958,3.86404E+18,165,1,0,4,0,1.25,3.583333333,1.892969449,2.866666667,1.514375559
-2.2807174,53.4401935,-9.18841E+18,111,1,0,0,0,0.25,0.25,0.5,1,2
-2.2492414,53.4636335,6.95049E+18,128,4,5,7,1,4.25,6.25,2.5,1.470588235,0.588235294
-2.2493574,53.4834079,-5.95691E+18,341,4,8,11,5,7,10,3.16227766,1.428571429,0.451753951
-2.2493732,53.4861044,1.29483E+18,85,0,0,1,2,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2496004,53.5247541,-3.65037E+18,22,1,0,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2475259,53.427683,-7.12891E+18,258,1,0,0,0,0.25,0.25,0.5,1,2
-2.2475572,53.4330761,-8.9952E+18,42,1,1,0,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2476357,53.4465587,-5.54317E+18,99,1,3,2,2,2,0.666666667,0.816496581,0.333333333,0.40824829
-2.2476776,53.4537494,-1.90096E+18,58,1,0,3,1,1.25,1.583333333,1.258305739,1.266666667,1.006644591
-2.2476828,53.4546482,7.80247E+18,103,1,3,8,2,3.5,9.666666667,3.109126351,2.761904762,0.888321815
-2.247688,53.4555471,1.77554E+18,108,0,3,6,3,3,6,2.449489743,2,0.816496581
-2.2477195,53.4609401,5.68416E+18,33,0,2,1,1,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2477666,53.4690296,4.0048E+18,110,4,4,5,3,4,0.666666667,0.816496581,0.166666667,0.204124145
-2.2478033,53.4753215,-6.39067E+18,2,0,0,1,0,0.25,0.25,0.5,1,2
-2.279395,53.468061,-3.703E+17,10,0,1,0,0,0.25,0.25,0.5,1,2
-2.2795428,53.4905318,8.16926E+18,86,0,0,0,1,0.25,0.25,0.5,1,2
-2.2835605,53.4150188,-3.27388E+18,83,0,3,1,3,1.75,2.25,1.5,1.285714286,0.857142857
-2.2479659,53.5031853,-3.83584E+18,42,0,1,2,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2479712,53.5040842,2.50706E+17,34,0,1,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2479817,53.5058818,-1.43702E+18,70,0,1,0,0,0.25,0.25,0.5,1,2
-2.2480395,53.515769,-3.53937E+18,79,0,1,0,0,0.25,0.25,0.5,1,2
-2.24805,53.5175666,5.88275E+18,114,0,1,0,0,0.25,0.25,0.5,1,2
-2.2480552,53.5184655,-6.79207E+18,110,0,1,1,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2480657,53.5202631,5.11695E+17,139,2,0,0,1,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2481078,53.5274537,3.40542E+18,118,1,0,0,2,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2775015,53.4087411,5.36314E+18,63,49,50,52,53,51,3.333333333,1.825741858,0.065359477,0.03579886
-2.2776656,53.4339087,4.01513E+17,84,1,0,0,2,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2776715,53.4348075,-8.04426E+18,63,3,0,0,1,1,2,1.414213562,2,1.414213562
-2.2777184,53.4419982,-6.1184E+18,89,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2777829,53.4518854,3.33762E+18,53,0,0,1,0,0.25,0.25,0.5,1,2
-2.2777888,53.4527843,-2.75281E+18,74,1,0,0,0,0.25,0.25,0.5,1,2
-2.2820143,53.4087305,-6.31901E+18,80,8,13,10,11,10.5,4.333333333,2.081665999,0.412698413,0.198253905
-2.28205,53.4141236,7.88745E+18,55,1,2,1,2,1.5,0.333333333,0.577350269,0.222222222,0.384900179
-2.2822168,53.4392911,-6.18589E+18,118,2,0,0,1,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2822347,53.4419876,-8.90642E+17,71,0,0,1,0,0.25,0.25,0.5,1,2
-2.2805456,53.4141271,2.4831E+18,55,7,7,3,7,6,4,2,0.666666667,0.333333333
-2.2807471,53.4446877,3.08011E+18,56,0,1,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2460261,53.428585,5.5077E+18,125,0,0,1,0,0.25,0.25,0.5,1,2
-2.2460521,53.4330792,-8.60753E+17,45,1,0,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2461821,53.4555502,-7.71053E+18,45,0,1,3,3,1.75,2.25,1.5,1.285714286,0.857142857
-2.246255,53.4681339,2.81531E+18,132,5,4,2,2,3.25,2.25,1.5,0.692307692,0.461538462
-2.2465575,53.5202662,2.54279E+18,150,0,1,1,2,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2465732,53.5229627,-8.4731E+18,53,0,1,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2790117,53.4096364,3.22228E+18,39,20,20,27,24,22.75,11.58333333,3.403429643,0.509157509,0.149601303
-2.2760147,53.4114411,-3.06652E+18,63,33,41,39,34,36.75,14.91666667,3.862210075,0.405895692,0.105094152
-2.2761604,53.4339121,-4.8232E+18,78,1,2,1,3,1.75,0.916666667,0.957427108,0.523809524,0.547101204
-2.2762772,53.4518889,-2.22661E+18,104,1,2,0,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2762947,53.4545854,8.84192E+17,103,0,1,0,0,0.25,0.25,0.5,1,2
-2.2764232,53.4743598,8.52178E+17,75,0,0,1,0,0.25,0.25,0.5,1,2
-2.2775191,53.4114376,-5.01517E+18,48,28,23,28,22,25.25,10.25,3.201562119,0.405940594,0.126794539
-2.2775367,53.4141341,-4.45402E+18,6,1,2,2,1,1.5,0.333333333,0.577350269,0.222222222,0.384900179
-2.2776773,53.4357063,-9.27438E+16,40,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2777419,53.4455936,-3.31233E+18,125,0,0,0,1,0.25,0.25,0.5,1,2
-2.2780945,53.4995236,2.91273E+18,283,0,0,0,1,0.25,0.25,0.5,1,2
-2.2746553,53.4339156,-1.5573E+18,56,2,2,0,0,1,1.333333333,1.154700538,1.333333333,1.154700538
-2.2746727,53.4366121,-8.67152E+18,152,4,1,8,2,3.75,9.583333333,3.095695937,2.555555556,0.825518916
-2.2746901,53.4393087,-3.81354E+18,142,2,1,2,0,1.25,0.916666667,0.957427108,0.733333333,0.765941686
-2.2747598,53.4500947,1.91265E+18,148,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.274783,53.4536901,8.27382E+18,130,1,1,0,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2748062,53.4572854,2.61513E+18,53,1,0,0,0,0.25,0.25,0.5,1,2
-2.2748934,53.470768,-2.26217E+18,303,0,3,1,1,1.25,1.583333333,1.258305739,1.266666667,1.006644591
-2.1351553,53.5851603,1.93315E+18,43,0,1,0,0,0.25,0.25,0.5,1,2
-2.2446452,53.4501602,5.92071E+18,72,4,3,0,1,2,3.333333333,1.825741858,1.666666667,0.912870929
-2.2446762,53.4555533,2.16844E+18,182,4,6,7,6,5.75,1.583333333,1.258305739,0.275362319,0.218835781
-2.2446917,53.4582498,5.46727E+18,51,2,1,2,0,1.25,0.916666667,0.957427108,0.733333333,0.765941686
-2.2447486,53.468137,-5.36733E+17,21,1,0,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2448418,53.4843161,8.77433E+18,125,0,2,2,2,1.5,1,1,0.666666667,0.666666667
-2.2449455,53.5022927,-7.50043E+18,111,3,3,1,0,1.75,2.25,1.5,1.285714286,0.857142857
-2.2449611,53.5049892,-8.82847E+18,84,1,2,1,1,1.25,0.25,0.5,0.2,0.4
-2.2760089,53.4105423,5.16771E+16,65,36,36,40,30,35.5,17,4.123105626,0.478873239,0.11614382
-2.276213,53.4420017,-1.60771E+18,91,1,1,3,1,1.5,1,1,0.666666667,0.666666667
-2.2762305,53.4446982,-8.91761E+18,125,3,1,2,0,1.5,1.666666667,1.290994449,1.111111111,0.860662966
-2.2762713,53.4509901,2.16102E+18,93,1,0,2,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2764174,53.473461,7.81591E+18,179,0,0,1,0,0.25,0.25,0.5,1,2
-2.2749341,53.4770598,8.63958E+18,73,1,0,0,0,0.25,0.25,0.5,1,2
-2.2750621,53.4968341,3.90719E+18,140,0,0,0,1,0.25,0.25,0.5,1,2
-2.274522,53.4132423,3.65458E+17,61,23,20,22,24,22.25,2.916666667,1.707825128,0.131086142,0.076756186
-2.2746495,53.4330168,-3.96033E+17,76,1,2,3,5,2.75,2.916666667,1.707825128,1.060606061,0.621027319
-2.2746785,53.437511,-3.5474E+18,54,0,1,3,0,1,2,1.414213562,2,1.414213562
-2.2747307,53.4456005,-5.1455E+18,55,2,1,0,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2748295,53.4608808,5.70848E+18,194,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.274905,53.4725656,-7.00293E+18,92,0,1,0,0,0.25,0.25,0.5,1,2
-2.2752894,53.5318884,2.02366E+18,108,1,0,0,0,0.25,0.25,0.5,1,2
-2.2431035,53.4438714,1.90168E+18,84,2,2,0,0,1,1.333333333,1.154700538,1.333333333,1.154700538
-2.2431497,53.451961,8.0964E+17,52,0,0,0,1,0.25,0.25,0.5,1,2
-2.2432577,53.4708366,-2.95833E+18,377,6,11,12,11,10,7.333333333,2.708012802,0.733333333,0.27080128
-2.2434637,53.50679,-3.29084E+18,84,2,1,0,1,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2434843,53.5103853,1.54664E+18,26,0,1,0,0,0.25,0.25,0.5,1,2
-2.2731386,53.4321214,-1.8201E+18,68,4,3,4,3,3.5,0.333333333,0.577350269,0.095238095,0.16495722
-2.2731444,53.4330202,5.002E+18,56,3,2,1,1,1.75,0.916666667,0.957427108,0.523809524,0.547101204
-2.2731559,53.4348179,-5.00264E+18,60,3,1,3,1,2,1.333333333,1.154700538,0.666666667,0.577350269
-2.273179,53.4384133,2.23753E+18,111,0,3,4,5,3,4.666666667,2.160246899,1.555555556,0.7200823
-2.2732656,53.4518959,9.15636E+18,53,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2732945,53.45639,-8.81169E+18,89,1,0,0,2,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2733349,53.4626819,-7.10597E+18,21,0,1,0,0,0.25,0.25,0.5,1,2
-2.2729887,53.4087515,-5.24237E+18,58,3,5,4,4,4,0.666666667,0.816496581,0.166666667,0.204124145
-2.2714787,53.4078561,7.37591E+18,58,0,0,1,0,0.25,0.25,0.5,1,2
-2.2715131,53.4132491,-3.90542E+18,30,3,5,7,3,4.5,3.666666667,1.914854216,0.814814815,0.425523159
-2.2715991,53.4267318,3.26813E+18,10,2,0,1,1,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2716163,53.4294283,9.12472E+18,65,1,2,8,3,3.5,9.666666667,3.109126351,2.761904762,0.888321815
-2.2716278,53.431226,5.26819E+18,73,5,1,2,4,3,3.333333333,1.825741858,1.111111111,0.608580619
-2.2716335,53.4321248,-1.70558E+18,79,5,6,1,10,5.5,13.66666667,3.696845502,2.484848485,0.672153728
-2.2716794,53.4393156,-7.84915E+18,100,4,1,4,3,3,2,1.414213562,0.666666667,0.471404521
-2.2716909,53.4411132,4.05693E+17,89,1,0,6,3,2.5,7,2.645751311,2.8,1.058300524
-2.2717713,53.453697,-3.0629E+18,87,3,2,0,2,1.75,1.583333333,1.258305739,0.904761905,0.719031851
-2.271823,53.4617865,-8.06192E+18,168,1,1,1,1,1,0,0,0,0
-2.2415622,53.4375826,-1.84397E+18,118,0,0,0,1,0.25,0.25,0.5,1,2
-2.2416031,53.4447733,7.04948E+18,106,0,0,0,3,0.75,2.25,1.5,3,2
-2.2416592,53.4546606,4.34952E+18,199,1,3,3,6,3.25,4.25,2.061552813,1.307692308,0.634323942
-2.2416643,53.4555594,8.51388E+18,235,10,5,4,6,6.25,6.916666667,2.62995564,1.106666667,0.420792902
-2.2417308,53.4672443,2.45407E+18,103,3,2,4,2,2.75,0.916666667,0.957427108,0.333333333,0.348155312
-2.2417359,53.4681432,-2.83366E+17,117,6,2,5,2,3.75,4.25,2.061552813,1.133333333,0.549747417
-2.2419765,53.5103884,-6.82556E+18,144,1,1,0,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2419918,53.5130849,-6.07372E+18,97,0,1,3,3,1.75,2.25,1.5,1.285714286,0.857142857
-2.2420585,53.5247696,-7.75114E+18,31,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2731271,53.4303237,3.93612E+17,52,3,4,3,0,2.5,3,1.732050808,1.2,0.692820323
-2.2734216,53.4761644,3.12727E+18,90,1,1,0,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2736822,53.5166118,-6.52058E+18,65,0,0,1,0,0.25,0.25,0.5,1,2
-2.2714845,53.4087549,-8.89259E+17,29,0,1,0,0,0.25,0.25,0.5,1,2
-2.271645,53.4339225,-3.94915E+18,12,3,1,1,0,1.25,1.583333333,1.258305739,1.266666667,1.006644591
-2.2717139,53.4447086,8.51928E+18,66,2,2,2,0,1.5,1,1,0.666666667,0.666666667
-2.2717253,53.4465063,-1.79706E+18,60,0,2,1,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2717885,53.4563935,1.49029E+17,120,0,0,2,1,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2717943,53.4572923,-1.09366E+18,124,0,0,4,0,1,4,2,4,2
-2.271892,53.4725725,-6.60184E+18,52,1,0,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.271915,53.4761679,5.58256E+18,198,1,0,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2720761,53.5013352,-8.30006E+18,380,0,3,0,1,1,2,1.414213562,2,1.414213562
-2.2722837,53.533693,4.92795E+18,92,0,1,0,0,0.25,0.25,0.5,1,2
-2.2701113,53.4294317,4.50462E+18,55,5,4,3,2,3.5,1.666666667,1.290994449,0.476190476,0.368855557
-2.2702312,53.4483074,-7.45272E+18,215,0,8,3,2,3.25,11.58333333,3.403429643,3.564102564,1.047209121
-2.2702826,53.4563969,9.223E+18,115,4,0,0,4,2,5.333333333,2.309401077,2.666666667,1.154700538
-2.2704083,53.4761713,-9.37071E+17,102,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2708095,53.5390893,-6.72219E+18,78,0,0,0,1,0.25,0.25,0.5,1,2
-2.2401026,53.4456752,-8.71402E+18,86,0,1,0,0,0.25,0.25,0.5,1,2
-2.2401483,53.4537648,8.89583E+18,132,3,2,3,4,3,0.666666667,0.816496581,0.222222222,0.272165527
-2.2404126,53.5005043,-3.04722E+18,122,2,3,2,4,2.75,0.916666667,0.957427108,0.333333333,0.348155312
-2.2404686,53.5103914,3.87971E+18,216,3,3,2,3,2.75,0.25,0.5,0.090909091,0.181818182
-2.2700999,53.427634,1.40107E+18,80,7,7,9,11,8.5,3.666666667,1.914854216,0.431372549,0.225276967
-2.2701684,53.4384201,6.41995E+18,80,1,3,3,3,2.5,1,1,0.4,0.4
-2.2701741,53.439319,2.10385E+18,104,5,2,6,1,3.5,5.666666667,2.380476143,1.619047619,0.680136041
-2.2701912,53.4420155,5.59136E+17,42,1,1,2,2,1.5,0.333333333,0.577350269,0.222222222,0.384900179
